ID,Area,Mean,Min,Max,X,Y
614,0,31,31,31,703.333,112
615,0,35,35,35,698,92.667
616,0,32,32,32,711.333,90.667
617,0,24,24,24,716.667,101.333
618,0,25,25,25,731.333,83.333
619,0,33,33,33,718,70
620,0,27,27,27,708,70
621,0,28,28,28,740.667,60.667
622,0,22,22,22,769.333,44
623,0,26,26,26,993.333,16
624,0,29,29,29,954,4
625,0,55,55,55,460.667,245.333
626,0,50,50,50,476,232.667
627,0,51,51,51,468,224.667
628,0,50,50,50,474.667,218.667
629,0,25,25,25,485.333,215.333
630,0,25,25,25,496.667,224.667
631,0,47,47,47,501.333,206
632,0,35,35,35,535.333,229.333
633,0,26,26,26,539.333,221.333
634,0,26,26,26,540,211.333
635,0,25,25,25,535.333,204
636,0,22,22,22,532,201.333
637,0,25,25,25,558.667,210
638,0,29,29,29,560,198.667
639,0,48,48,48,453.333,219.333
640,0,57,57,57,610,182.667
641,0,32,32,32,573.333,190.667
642,0,24,24,24,591.333,237.333
643,0,28,28,28,530.667,284
644,0,23,23,23,621.333,285.333
645,0,29,29,29,592.667,281.333
646,0,24,24,24,587.333,263.333
647,0,21,21,21,576,309.333
648,0,19,19,19,674,382
649,0,19,19,19,696.667,386
650,0,19,19,19,679.333,456.667
651,0,46,46,46,493.333,184
652,0,36,36,36,526,170
653,0,47,47,47,566,176.667
654,0,52,52,52,555.333,171.333
655,0,45,45,45,556.667,153.333
656,0,54,54,54,564,160.667
657,0,57,57,57,572.667,160
658,0,48,48,48,578,154.667
659,0,35,35,35,584.667,149.333
660,0,72,72,72,595.333,134.667
661,0,43,43,43,590.667,128
662,0,47,47,47,646.667,166
663,0,41,41,41,639.333,175.333
664,0,65,65,65,649.333,175.333
665,0,57,57,57,602,158.667
666,0,62,62,62,503.333,140
667,0,35,35,35,505.333,164
668,0,51,51,51,495.333,150.667
669,0,25,25,25,484,167.333
670,0,21,21,21,461.333,172.667
671,0,48,48,48,463.333,154
672,0,54,54,54,470.667,142
673,0,70,70,70,466,133.333
674,0,38,38,38,482,131.333
675,0,57,57,57,488,143.333
676,0,49,49,49,490,116.667
677,0,48,48,48,496.667,117.333
678,0,38,38,38,501.333,112
679,0,48,48,48,495.333,104
680,0,48,48,48,486.667,93.333
681,0,61,61,61,495.333,86
682,0,42,42,42,527.333,99.333
683,0,42,42,42,518.667,116.667
684,0,26,26,26,515.333,124.667
685,0,48,48,48,536.667,132
686,0,37,37,37,548,132
687,0,33,33,33,533.333,141.333
688,0,58,58,58,537.333,156.667
689,0,24,24,24,834,380
690,0,27,27,27,628.667,390.667
691,0,31,31,31,496.667,354.667
692,0,46,46,46,562,86
693,0,59,59,59,547.333,85.333
694,0,47,47,47,540,82
695,0,40,40,40,544,78
696,0,58,58,58,580.667,58.667
697,0,55,55,55,570,42.667
698,0,31,31,31,558,57.333
699,0,40,40,40,548.667,44.667
700,0,46,46,46,579.333,117.333
701,0,47,47,47,562.667,122.667
702,0,33,33,33,567.333,99.333
703,0,29,29,29,606.667,115.333
704,0,46,46,46,633.333,114
705,0,47,47,47,631.333,101.333
706,0,42,42,42,666,118
707,0,24,24,24,668,104.667
708,0,28,28,28,678,126.667
709,0,14,14,14,656.667,131.333
710,0,34,34,34,635.333,136.667
711,0,45,45,45,594.667,171.333
712,0,48,48,48,654.667,155.333
713,0,30,30,30,485.333,69.333
714,0,49,49,49,462,81.333
715,0,26,26,26,458.667,109.333
716,0,28,28,28,517.333,59.333
717,0,54,54,54,506.667,47.333
718,0,32,32,32,511.333,42
719,0,42,42,42,480.667,56
720,0,35,35,35,474.667,61.333
721,0,33,33,33,478.667,46.667
722,0,54,54,54,483.333,40
723,0,38,38,38,492,34.667
724,0,23,23,23,496,24
725,0,52,52,52,484.667,15.333
726,0,42,42,42,453.333,37.333
727,0,45,45,45,532,24.667
728,0,35,35,35,520.667,23.333
729,0,25,25,25,512,13.333
730,0,33,33,33,525.333,4.667
731,0,37,37,37,542,2
732,0,36,36,36,576,7.333
733,0,34,34,34,582.667,80
734,0,27,27,27,604.667,80
735,0,43,43,43,648.667,80
736,0,26,26,26,662.667,76.667
737,0,73,73,73,655.333,66.667
738,0,40,40,40,637.333,66.667
739,0,42,42,42,608,46
740,0,42,42,42,655.333,46
741,0,61,61,61,658,23.333
742,0,63,63,63,626,9.333
743,0,47,47,47,650,4
744,0,46,46,46,678.667,11.333
745,0,37,37,37,689.333,28
746,0,28,28,28,695.333,21.333
