 ,Area,Mean,Min,Max,X,Y
2476,0,41,41,41,150.000,4.333
2477,0,23,23,23,161.000,11.000
2478,0,33,33,33,171.000,17.667
2479,0,35,35,35,188.667,23.000
2480,0,43,43,43,203.333,26.000
2481,0,26,26,26,136.000,52.000
2482,0,40,40,40,213.667,55.667
2483,0,38,38,38,224.000,56.333
2484,0,41,41,41,113.000,147.000
2485,0,32,32,32,224.000,75.000
2486,0,33,33,33,202.000,131.000
2487,0,37,37,37,235.000,72.000
2488,0,37,37,37,233.333,83.333
2489,0,38,38,38,246.333,75.667
2490,0,49,49,49,251.667,89.333
2491,0,44,44,44,258.000,84.333
2492,0,42,42,42,263.000,94.667
2493,0,35,35,35,231.000,97.667
2494,0,30,30,30,225.000,110.000
2495,0,30,30,30,236.667,113.667
2496,0,34,34,34,237.000,121.333
2497,0,34,34,34,234.000,132.000
2498,0,44,44,44,248.000,134.333
2499,0,24,24,24,240.667,147.333
2500,0,37,37,37,256.000,144.667
2501,0,30,30,30,259.667,153.000
2502,0,40,40,40,273.667,144.667
2503,0,33,33,33,237.000,160.667
2504,0,25,25,25,250.333,170.000
2505,0,41,41,41,232.333,173.333
2506,0,35,35,35,238.667,186.667
2507,0,20,20,20,227.667,186.667
2508,0,24,24,24,206.333,191.667
2509,0,29,29,29,241.333,206.333
2510,0,20,20,20,257.333,211.333
2511,0,35,35,35,252.333,225.000
2512,0,55,55,55,257.333,190.667
2513,0,41,41,41,210.000,2.000
2514,0,46,46,46,224.000,7.667
2515,0,44,44,44,230.333,30.000
2516,0,32,32,32,236.667,38.667
2517,0,28,28,28,243.000,11.667
2518,0,57,57,57,268.000,22.667
2519,0,37,37,37,272.333,11.000
2520,0,34,34,34,284.000,21.333
2521,0,38,38,38,297.000,13.000
2522,0,35,35,35,272.667,34.667
2523,0,25,25,25,283.000,60.333
2524,0,27,27,27,248.667,52.333
2525,0,37,37,37,301.667,54.667
2526,0,29,29,29,300.333,62.333
2527,0,55,55,55,302.667,96.000
2528,0,45,45,45,285.333,80.333
2529,0,64,64,64,291.000,72.667
2530,0,22,22,22,280.333,96.000
2531,0,29,29,29,284.000,113.000
2532,0,18,18,18,275.000,118.667
2533,0,37,37,37,294.333,117.000
2534,0,47,47,47,316.333,30.667
2535,0,37,37,37,327.333,12.667
2536,0,59,59,59,340.333,12.667
2537,0,28,28,28,336.000,28.333
2538,0,33,33,33,314.333,44.667
2539,0,29,29,29,321.333,49.333
2540,0,33,33,33,322.000,79.667
2541,0,34,34,34,325.667,99.667
2542,0,27,27,27,327.667,111.667
2543,0,46,46,46,313.000,117.667
2544,0,46,46,46,320.000,123.667
2545,0,34,34,34,308.667,139.000
2546,0,32,32,32,294.333,147.333
2547,0,40,40,40,314.000,150.000
2548,0,28,28,28,325.333,134.000
2549,0,31,31,31,334.667,143.333
2550,0,41,41,41,331.333,165.333
2551,0,33,33,33,300.667,167.667
2552,0,46,46,46,280.333,173.333
2553,0,35,35,35,284.667,183.000
2554,0,64,64,64,289.333,191.333
2555,0,47,47,47,283.333,205.000
2556,0,36,36,36,300.667,210.333
2557,0,47,47,47,310.333,208.000
2558,0,40,40,40,320.000,208.667
2559,0,51,51,51,306.000,184.000
2560,0,50,50,50,323.000,189.333
2561,0,40,40,40,308.000,224.000
2562,0,44,44,44,295.333,239.333
2563,0,35,35,35,290.333,223.000
2564,0,36,36,36,334.333,222.000
2565,0,58,58,58,354.333,213.667
2566,0,51,51,51,354.667,189.333
2567,0,29,29,29,350.333,233.333
2568,0,34,34,34,343.333,163.333
2569,0,28,28,28,351.667,151.667
2570,0,34,34,34,352.333,135.333
2571,0,37,37,37,356.667,111.667
2572,0,45,45,45,353.000,100.000
2573,0,32,32,32,345.333,109.667
2574,0,32,32,32,349.333,34.333
2575,0,32,32,32,61.333,146.667
2576,0,38,38,38,399.333,201.667
2577,0,37,37,37,409.667,187.333
2578,0,38,38,38,394.333,189.667
2579,0,35,35,35,382.333,192.000
2580,0,27,27,27,374.667,196.000
2581,0,39,39,39,368.333,198.000
2582,0,20,20,20,372.667,188.000
2583,0,57,57,57,379.000,169.667
2584,0,52,52,52,371.333,166.333
2585,0,48,48,48,373.667,154.667
2586,0,51,51,51,371.333,146.667
2587,0,38,38,38,361.000,160.000
2588,0,34,34,34,388.667,163.333
2589,0,46,46,46,378.333,127.000
2590,0,28,28,28,391.667,122.000
2591,0,52,52,52,367.000,95.333
2592,0,43,43,43,368.000,88.333
2593,0,42,42,42,419.667,141.333
2594,0,41,41,41,409.667,130.333
2595,0,63,63,63,416.000,117.667
2596,0,53,53,53,411.000,103.667
2597,0,35,35,35,432.000,129.333
2598,0,28,28,28,435.000,116.333
2599,0,31,31,31,441.333,127.667
2600,0,53,53,53,444.000,97.667
2601,0,44,44,44,419.333,86.333
2602,0,74,74,74,405.333,81.000
2603,0,41,41,41,421.333,179.667
2604,0,73,73,73,434.500,51.500
2605,0,54,54,54,398.667,58.000
2606,0,55,55,55,389.000,64.000
2607,0,47,47,47,379.000,64.667
2608,0,37,37,37,372.000,55.667
2609,0,59,59,59,362.333,66.667
2610,0,26,26,26,359.000,58.667
2611,0,59,59,59,360.000,46.000
2612,0,29,29,29,395.667,37.000
2613,0,53,53,53,370.667,10.333
2614,0,54,54,54,382.000,2.333
2615,0,48,48,48,444.333,7.333
2616,0,54,54,54,437.000,8.000
2617,0,35,35,35,448.333,21.333
2618,0,27,27,27,435.333,20.000
2619,0,59,59,59,435.000,41.000
2620,0,45,45,45,423.667,36.667
2621,0,56,56,56,426.667,1.667
2622,0,28,28,28,417.667,10.000
2623,0,47,47,47,489.000,2.667
2624,0,25,25,25,469.000,21.667
2625,0,22,22,22,475.333,87.333
2626,0,30,30,30,436.333,80.000
2627,0,26,26,26,615.000,18.667
2628,0,23,23,23,621.667,76.667
2629,0,26,26,26,636.000,42.333
2630,0,6,6,6,356.000,962.000
2631,0,35,35,35,27.333,972.000
2632,0,30,30,30,12.667,981.333
2633,0,33,33,33,16.667,970.000
